,City,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Country,Date
0,paramirim,-13.4425,-42.2389,295.35,70,64,2.55,BR,1614643467
1,port alfred,-33.5906,26.891,294.72,87,56,3.55,ZA,1614643467
2,punta arenas,-53.15,-70.9167,282.15,57,0,4.63,CL,1614643393
3,nizhniy odes,63.6445,54.856,265.2,97,100,3.95,RU,1614643468
4,jamestown,42.097,-79.2353,268.71,91,75,9.24,US,1614643433
5,georgetown,5.4112,100.3354,299.82,88,20,1.62,MY,1614643254
6,barcelona,41.3888,2.159,286.48,82,75,6.69,ES,1614643330
7,birao,10.2849,22.7882,296.76,19,0,4.74,CF,1614643469
8,pa sang,18.5262,98.9394,293.15,72,0,0.52,TH,1614643469
9,chauk,20.8833,94.8167,293.27,59,0,1.1,MM,1614643469
10,hermanus,-34.4187,19.2345,291.48,84,23,4.2,ZA,1614643469
11,qaanaaq,77.484,-69.3632,246.19,75,96,1.09,GL,1614643470
12,shitanjing,39.2342,106.3439,271.19,70,0,0.16,CN,1614643271
13,busselton,-33.65,115.3333,292.59,83,92,0.89,AU,1614643470
14,mataura,-46.1927,168.8643,295.93,72,45,0.89,NZ,1614643470
15,sisimiut,66.9395,-53.6735,259.17,81,100,9.23,GL,1614643471
16,rikitea,-23.1203,-134.9692,299.01,61,40,2.3,PF,1614643471
17,puerto ayora,-0.7393,-90.3518,299.82,90,56,2.24,EC,1614643471
18,albany,42.6001,-73.9662,272.59,60,37,0.89,US,1614643332
19,thompson,55.7435,-97.8558,256.15,78,90,2.06,CA,1614643472
20,kebumen,-7.6687,109.6519,299.54,80,82,1.21,ID,1614643472
21,aswan,24.0934,32.907,287.37,39,0,4.67,EG,1614643472
22,inza,53.8533,46.3586,266.94,97,99,6.48,RU,1614643473
23,provideniya,64.3833,-173.3,253.15,77,90,13.0,RU,1614643473
24,arraial do cabo,-22.9661,-42.0278,298.15,83,0,6.17,BR,1614643206
25,acarau,-2.8856,-40.12,299.14,80,99,5.44,BR,1614643196
26,kapaa,22.0752,-159.319,297.15,64,20,9.77,US,1614643474
27,otuzco,-7.9,-78.5833,283.19,98,92,1.43,PE,1614643474
28,mandera,3.9366,41.867,297.62,61,32,5.94,KE,1614643475
29,port elizabeth,-33.918,25.5701,292.15,94,20,7.72,ZA,1614643475
30,kutum,14.2,24.6667,286.38,32,15,3.84,SD,1614643475
31,ancud,-41.8697,-73.8203,288.71,94,90,2.06,CL,1614643279
32,new norfolk,-42.7826,147.0587,287.59,59,65,0.89,AU,1614643476
33,ushuaia,-54.8,-68.3,283.15,46,20,4.12,AR,1614643192
34,bambous virieux,-20.3428,57.7575,299.15,78,40,3.09,MU,1614643476
35,coquimbo,-29.9533,-71.3436,289.15,82,0,3.6,CL,1614643477
36,kaitangata,-46.2817,169.8464,293.15,83,34,2.51,NZ,1614643477
37,loiza,18.4313,-65.8802,298.15,64,40,6.69,PR,1614643477
38,hailar,49.2,119.7,250.91,95,71,3.34,CN,1614643208
39,hobart,-42.8794,147.3294,288.15,58,75,6.69,AU,1614643334
40,hilo,19.7297,-155.09,300.15,54,75,6.17,US,1614643478
41,taltal,-25.4,-70.4833,292.1,87,25,2.17,CL,1614643267
42,puerto del rosario,28.5004,-13.8627,290.15,72,0,3.6,ES,1614643478
43,tonantins,-2.8731,-67.8022,296.69,97,49,0.7,BR,1614643479
44,east london,-33.0153,27.9116,295.36,77,0,9.11,ZA,1614643479
45,vaini,-21.2,-175.2,300.15,78,75,9.77,TO,1614643479
46,carnarvon,-24.8667,113.6333,296.15,88,40,3.6,AU,1614643480
47,narrabri,-30.3167,149.7833,301.48,44,0,3.6,AU,1614643480
48,soyo,-6.1349,12.3689,299.43,85,100,2.73,AO,1614643480
49,khuzdar,27.7384,66.6434,283.43,35,0,0.58,PK,1614643480
50,tasiilaq,65.6145,-37.6368,263.15,57,2,1.54,GL,1614643480
51,willowmore,-33.2926,23.4895,294.95,65,94,3.32,ZA,1614643481
52,dikson,73.5069,80.5464,244.48,86,18,6.42,RU,1614643481
53,reconquista,-29.15,-59.65,300.45,33,15,3.01,AR,1614643386
54,dukat,62.55,155.55,242.05,82,100,1.37,RU,1614643481
55,volgodonsk,47.5136,42.1514,272.0,96,44,1.66,RU,1614643482
56,saskylakh,71.9167,114.0833,233.81,100,99,1.21,RU,1614643482
57,saint-philippe,-21.3585,55.7679,297.15,57,0,3.6,RE,1614643482
58,makakilo city,21.3469,-158.0858,300.15,44,1,6.69,US,1614643483
59,bethel,41.3712,-73.414,277.15,41,1,5.14,US,1614643263
60,slave lake,55.2834,-114.769,274.15,93,90,1.54,CA,1614643483
61,san patricio,28.017,-97.5169,286.15,94,90,8.23,US,1614643483
62,kruisfontein,-34.0033,24.7314,293.71,93,100,1.34,ZA,1614643484
63,zhanaozen,43.3,52.8,272.5,95,2,1.85,KZ,1614643484
64,aranos,-24.1333,19.1167,294.26,52,0,7.08,NA,1614643485
65,faanui,-16.4833,-151.75,301.65,68,100,2.29,PF,1614643485
66,sitka,57.0531,-135.33,275.15,87,90,5.66,US,1614643288
67,norman wells,65.282,-126.8329,248.15,64,75,7.2,CA,1614643485
68,labuhan,-6.8844,112.2051,299.29,85,86,1.68,ID,1614643486
69,lima,-12.0432,-77.0282,299.15,65,40,3.09,PE,1614643304
70,mayor pablo lagerenza,-19.9309,-60.7718,301.99,43,32,1.44,PY,1614643486
71,henties bay,-22.116,14.2845,293.15,89,0,2.68,NA,1614643486
72,severo-kurilsk,50.6789,156.125,268.51,87,99,7.17,RU,1614643487
73,plettenberg bay,-34.0527,23.3716,295.33,79,99,5.56,ZA,1614643487
74,solwezi,-12.1688,26.3894,290.52,99,100,2.09,ZM,1614643266
75,port hedland,-20.3167,118.5667,301.15,78,40,1.54,AU,1614643267
76,port lincoln,-34.7333,135.8667,289.49,72,100,9.3,AU,1614643488
77,san rafael,-34.6177,-68.3301,303.12,32,11,5.71,AR,1614643377
78,butaritari,3.0707,172.7902,300.24,80,99,7.3,KI,1614643488
79,clyde river,70.4692,-68.5914,247.15,70,75,5.66,CA,1614643489
80,chuy,-33.6971,-53.4616,295.5,88,68,5.71,UY,1614643489
81,atuona,-9.8,-139.0333,299.83,72,10,5.23,PF,1614643489
82,songkhla,6.8333,100.6667,297.15,100,20,0.69,TH,1614643490
83,hithadhoo,-0.6,73.0833,300.78,70,87,4.19,MV,1614643490
84,cherskiy,68.75,161.3,240.25,84,10,2.77,RU,1614643490
85,qui nhon,13.7667,109.2333,296.74,88,51,1.9,VN,1614643259
86,jumla,29.2747,82.1838,274.87,53,0,2.06,NP,1614643385
87,rexburg,43.826,-111.7897,273.15,55,1,2.57,US,1614643317
88,huilong,31.8111,121.655,277.59,91,87,6.75,CN,1614643491
89,patiya,22.2931,91.9762,290.75,89,3,1.19,BD,1614643491
90,vila do maio,15.1333,-23.2167,292.15,72,20,7.72,CV,1614643492
91,merauke,-8.4667,140.3333,302.28,74,98,7.03,ID,1614643492
92,bredasdorp,-34.5322,20.0403,292.15,88,23,2.57,ZA,1614643492
93,rawson,-43.3002,-65.1023,289.67,78,97,12.1,AR,1614643363
94,broome,42.2506,-75.833,271.48,68,90,9.77,US,1614643493
95,bluff,-46.6,168.3333,295.93,72,70,0.89,NZ,1614643493
96,shimoda,34.6667,138.95,290.15,94,75,9.26,JP,1614643493
97,vardo,70.3705,31.1107,270.15,93,90,10.29,NO,1614643494
98,artesia,33.8658,-118.0831,295.37,6,1,3.6,US,1614643494
99,ilulissat,69.2167,-51.1,259.15,51,95,9.77,GL,1614643494
100,llangefni,53.2556,-4.3106,278.15,93,0,1.54,GB,1614643494
